external_id	slug	categoria	motivo	titulo
748920247725	moldeador-de-pelo-5-en-1-con-aire-caliente-cepillo-secador-y-rizador-multifuncion-748920247725	Cepillo para el cabello	cosmetica	Moldeador de pelo 5 en 1 con aire caliente, cepillo secador y rizador multifunción
719820425067	aplicador-para-cuero-cabelludo-con-rodillo-y-masajeador-dosificador-de-liquido-capilar-719820425067	Cepillo para el cabello	cosmetica	Aplicador para cuero cabelludo con rodillo y masajeador, dosificador de líquido capilar
786103562457	juego-de-unas-postizas-blancas-con-acabado-perlado-desmontables-786103562457	Falsa uña	cosmetica	Juego de uñas postizas blancas con acabado perlado, desmontables
922736600000	unas-postizas-press-on-en-forma-de-almendra-con-diseno-3d-dorado-922736600000	Falsa uña	cosmetica	Uñas postizas press-on en forma de almendra con diseño 3D dorado
998656971732	unas-postizas-press-on-con-osito-y-lazo-francesa-blanca-sobre-base-nude-998656971732	Falsa uña	cosmetica	Uñas postizas press on con osito y lazo, francesa blanca sobre base nude
993199802134	unas-postizas-press-on-almendra-francesa-con-flores-y-leopardo-24-uds-993199802134	Falsa uña	cosmetica	Uñas postizas press on almendra francesa con flores y leopardo, 24 uds
904649982267	unas-postizas-rectangulares-blancas-efecto-gel-con-perlas-904649982267	Falsa uña	cosmetica	Uñas postizas rectangulares blancas efecto gel con perlas
866900676266	unas-postizas-reutilizables-efecto-ojo-de-gato-con-francesa-burdeos-866900676266	Falsa uña	cosmetica	Uñas postizas reutilizables efecto ojo de gato con francesa burdeos
877634703931	unas-postizas-adhesivas-de-manicura-francesa-en-tono-nude-877634703931	Falsa uña	cosmetica	Uñas postizas adhesivas de manicura francesa en tono nude
680794534357	unas-postizas-francesas-cortas-con-degradado-nude-y-punta-blanca-reutilizables-680794534357	Falsa uña	cosmetica	Uñas postizas francesas cortas con degradado nude y punta blanca reutilizables
825600988298	unas-postizas-reutilizables-hechas-a-mano-con-pedreria-y-relieves-en-3d-825600988298	Falsa uña	cosmetica	Uñas postizas reutilizables hechas a mano con pedrería y relieves en 3D
796688790289	unas-postizas-adhesivas-reutilizables-con-acabado-degradado-y-brillo-de-gel-796688790289	Falsa uña	cosmetica	Uñas postizas adhesivas reutilizables con acabado degradado y brillo de gel
910270037225	unas-postizas-adhesivas-de-forma-almendra-con-degradado-rosa-24-unidades-910270037225	Falsa uña	cosmetica	Uñas postizas adhesivas de forma almendra con degradado rosa, 24 unidades
